#{"t_start": 1784439046.130854, "env_id": "Reacher-v5"}
r,l,t
-11.871452,50,77.943164
-13.012684,50,77.973356
-15.799409,50,78.003705
-12.924135,50,78.033611
-13.59062,50,78.064534
-15.403685,50,78.095007
-12.196059,50,78.125115
-12.232698,50,78.156455
-11.587258,50,78.186544
-10.410363,50,78.217087
-10.156409,50,78.248425
-11.099093,50,78.278687
-14.671376,50,78.309071
-13.111392,50,78.340464
-13.614015,50,78.370636
-11.847293,50,78.4012
-11.707504,50,78.431456
-13.426404,50,78.462734
-15.863051,50,78.493284
-13.261688,50,78.523445
-16.582997,50,78.554533
-10.90798,50,78.584477
-12.583525,50,78.615038
-9.218584,50,78.646195
-11.882392,50,78.67696
-11.710905,50,78.70951
-10.407945,50,78.7393
-11.033403,50,78.770566
-10.481055,50,78.801061
-10.926217,50,78.831237
-11.284222,50,78.862614
-13.231718,50,78.893249
-17.769793,50,78.923428
-12.57808,50,78.954707
-13.596072,50,78.984982
-14.025567,50,79.015403
-14.841037,50,79.045414
-12.853861,50,79.239654
-12.28787,50,81.505081
-15.216254,50,81.534893
-10.408166,50,81.564754
-15.562254,50,81.595638
-8.621497,50,81.625712
-14.44874,50,81.656063
-11.907072,50,81.687272
-15.497251,50,81.717242
-14.579782,50,81.74755
-11.620243,50,81.777428
-15.95356,50,81.80842
-11.555701,50,81.838968
-15.089469,50,81.869011
-9.849431,50,81.900485
-14.038005,50,81.931653
-9.073066,50,81.962094
-13.058577,50,81.993464
-11.987135,50,82.023947
-15.086923,50,82.054552
-13.410675,50,82.084448
-12.227063,50,82.115941
-16.049507,50,82.146205
-12.024226,50,82.176318
-15.101753,50,82.207517
-12.692895,50,82.238019
-11.749844,50,82.268269
-16.322998,50,82.299556
-11.695648,50,82.330149
-12.20004,50,82.361641
-15.697822,50,82.392902
-12.225365,50,82.422757
-10.084199,50,82.454428
-11.072158,50,82.484843
-10.090309,50,82.515829
-13.824696,50,82.545942
-11.354626,50,82.575629
-15.330895,50,82.606224
-17.96141,50,82.636132
-11.647919,50,82.666031
-8.56559,50,82.697531
-16.158502,50,82.727823
-11.62012,50,84.987943
-12.759923,50,85.018119
-11.506428,50,85.049106
-9.480391,50,85.079362
-8.795237,50,85.109312
-11.154497,50,85.140392
-12.913895,50,85.170665
-11.670446,50,85.201336
-13.533854,50,85.395894
-8.383383,50,85.427558
-8.932266,50,85.457777
-12.525935,50,85.48801
-12.359903,50,85.517979
-9.408871,50,85.549116
-11.830812,50,85.579475
-9.807721,50,85.609609
-14.016264,50,85.64076
-13.25817,50,85.67082
-12.510465,50,85.701269
-10.094981,50,85.732347
-15.178035,50,85.762448
-17.890991,50,85.792853
-9.769016,50,85.822686
