#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-12.515591,50,61.735579
-9.083714,50,61.768403
-10.224623,50,62.345452
-3.567118,50,62.377831
-4.949748,50,62.409421
-6.28052,50,62.440955
-7.013949,50,62.47352
-8.499476,50,62.504752
-5.611557,50,62.536412
-9.255009,50,62.569532
-9.361201,50,62.600759
-5.696949,50,62.632373
-6.560724,50,63.217115
-5.542674,50,63.248241
-7.583658,50,63.280578
-7.487725,50,63.311783
-7.50954,50,63.343037
-7.536593,50,63.376019
-11.011642,50,63.407453
-8.493041,50,63.438995
-6.41351,50,63.47177
-3.051031,50,63.502941
-11.790806,50,64.082089
-12.590559,50,64.113772
-4.941453,50,64.145003
-9.591397,50,64.344322
-5.960182,50,64.375762
-6.070274,50,64.408966
-6.002777,50,64.440633
-11.551417,50,64.472216
-9.861072,50,64.504615
-11.042662,50,64.536404
-5.849675,50,65.128192
-4.861127,50,65.159446
-6.895345,50,65.191769
-4.651415,50,65.222269
-9.915132,50,65.253383
-6.840908,50,65.284343
-5.964219,50,65.316743
-6.038632,50,65.348844
-5.632114,50,65.380774
-6.121657,50,65.413294
-7.022587,50,65.444636
-7.753171,50,66.012896
-7.135506,50,66.044162
-7.738226,50,66.076356
-6.21462,50,66.107884
-7.771997,50,66.139495
-11.166227,50,66.170775
-6.439178,50,66.203015
-10.060205,50,66.233584
-3.313801,50,66.264631
-9.073052,50,66.295342
-3.666063,50,66.873872
-10.749423,50,66.905353
-6.412051,50,66.937865
-7.742174,50,66.969131
-8.946592,50,67.000372
-4.625883,50,67.032966
-12.978766,50,67.064915
-5.939949,50,67.096348
-6.313892,50,67.128933
-3.721599,50,67.160229
-8.876676,50,67.752741
-9.115115,50,67.784473
-8.838678,50,67.815775
-8.049022,50,67.848117
-6.546173,50,67.879877
-7.190176,50,67.911195
-7.742178,50,67.943747
-7.674565,50,67.975343
-5.883182,50,68.006556
-6.021496,50,68.039017
-7.05875,50,68.617843
-6.987878,50,68.651057
-4.925844,50,68.683367
-6.872584,50,68.715473
-6.87821,50,68.748282
-5.825361,50,68.780033
-7.001115,50,68.812117
-7.650554,50,68.844877
-7.779267,50,68.876618
-7.806817,50,68.908382
-6.18468,50,69.506669
-12.944864,50,69.541025
-3.44948,50,69.573094
-5.707429,50,69.605605
-8.043066,50,69.6377
-10.073576,50,69.671257
-12.32967,50,69.704036
-7.259929,50,69.736313
-12.643455,50,69.769301
-8.190185,50,69.800703
-8.354539,50,69.832231
-7.294693,50,70.402216
-7.782817,50,70.43307
-9.590944,50,70.465174
-8.006759,50,70.496279
-6.139221,50,70.527836
-6.535775,50,70.560341
-10.235444,50,70.591609
-6.731815,50,70.623177
-9.666241,50,70.655603
-9.511995,50,70.68801
-10.699617,50,71.24724
-3.315452,50,71.279898
-6.617686,50,71.312322
-5.108126,50,71.345015
-6.472488,50,71.379208
-5.122896,50,71.412477
-3.174563,50,71.446622
-5.379778,50,71.480975
-8.499154,50,71.513983
-2.919971,50,71.546578
-6.713975,50,72.121503
-7.523138,50,72.152665
-7.876467,50,72.185334
-6.552275,50,72.217078
-4.219521,50,72.248401
-6.388081,50,72.280813
-6.426991,50,72.312213
-10.836481,50,72.343764
-6.490913,50,72.376392
-6.454809,50,72.407451
-6.790991,50,72.967675
-5.48087,50,73.000391
-3.486246,50,73.031638
-3.965089,50,73.062928
-8.967901,50,73.094819
-4.975456,50,73.12559
-6.78869,50,73.156804
-8.035246,50,73.18883
-5.477812,50,73.220251
-8.684796,50,73.251626
-10.545543,50,73.283856
-7.508958,50,73.84341
-9.1828,50,73.874834
-8.025934,50,73.90714
-12.469379,50,73.938402
-7.49165,50,73.969894
-7.092029,50,74.002362
-6.503691,50,74.033735
-7.887316,50,74.065814
-11.538398,50,74.098703
-5.537366,50,74.130388
-6.316876,50,74.695314
-5.701182,50,74.727555
-7.939653,50,74.759583
-11.243496,50,74.791269
-6.946013,50,74.823562
-5.580693,50,74.855244
-6.787755,50,74.886564
